student_id,school,school_setting,school_type,classroom,teaching_method,n_student,gender,lunch,pretest
C0UW3,CCAAW,Suburban,Non-public,2B1,Experimental,18.0,Female,Qualifies for reduced/free lunch,62.0
QUDKL,OJOBU,Rural,Public,FS3,Standard,19.0,Female,Qualifies for reduced/free lunch,66.0
T02OH,KFZMY,Urban,Non-public,1VD,Experimental,27.0,Female,Qualifies for reduced/free lunch,43.0
9KMZD,ANKYI,Urban,Non-public,6OL,Standard,20.0,Male,Does not qualify,63.0
UV4VL,VHDHF,Rural,Non-public,KR1,Experimental,15.0,Male,Qualifies for reduced/free lunch,53.0
147UW,VHDHF,Rural,Non-public,KR1,Experimental,15.0,Male,Qualifies for reduced/free lunch,59.0
L33FR,KZKKE,Rural,Public,5JK,Standard,24.0,Female,Qualifies for reduced/free lunch,32.0
I30XE,GJJHK,Suburban,Public,NOR,Experimental,27.0,Female,Qualifies for reduced/free lunch,61.0
I284N,IDGFP,Urban,Non-public,XZM,Standard,17.0,Female,Does not qualify,68.0
447O0,ANKYI,Urban,Non-public,ZNS,Standard,21.0,Male,Does not qualify,57.0
6Y2G7,CUQAM,Urban,Public,BFY,Standard,27.0,Male,Does not qualify,50.0
DP3H5,ZMNYA,Suburban,Public,1UU,Experimental,24.0,Male,Does not qualify,68.0
FD8K3,LAYPA,Rural,Public,J8J,Standard,19.0,Female,Does not qualify,60.0
CR5FB,GOKXL,Rural,Public,VA6,Standard,19.0,Male,Qualifies for reduced/free lunch,45.0
3ULUB,CUQAM,Urban,Public,OMI,Standard,28.0,Female,Does not qualify,59.0
AOI1Q,ZOWMK,Urban,Public,CII,Standard,27.0,Female,Qualifies for reduced/free lunch,54.0
ZCA7A,GOOBU,Urban,Public,CXC,Standard,24.0,Female,Qualifies for reduced/free lunch,33.0
XGFGI,UAGPU,Suburban,Public,NWZ,Standard,21.0,Male,Does not qualify,58.0
YM3NK,DNQDD,Suburban,Public,PW5,Experimental,20.0,Male,Qualifies for reduced/free lunch,44.0
4HD3D,DNQDD,Suburban,Public,PW5,Experimental,20.0,Female,Qualifies for reduced/free lunch,38.0
PVNY9,VVTVA,Urban,Public,7BL,Standard,29.0,Male,Qualifies for reduced/free lunch,42.0
2DSRE,IDGFP,Urban,Non-public,XZM,Standard,17.0,Female,Does not qualify,71.0
IWFBI,IDGFP,Urban,Non-public,98D,Experimental,21.0,Male,Does not qualify,75.0
B2NRX,UAGPU,Suburban,Public,1SZ,Standard,22.0,Male,Does not qualify,55.0
THIFD,CUQAM,Urban,Public,OMI,Standard,28.0,Female,Qualifies for reduced/free lunch,49.0
G193S,QOQTS,Urban,Public,X2O,Experimental,25.0,Female,Does not qualify,65.0
P014J,KFZMY,Urban,Non-public,1VD,Experimental,27.0,Female,Qualifies for reduced/free lunch,43.0
N3LL6,DNQDD,Suburban,Public,ROP,Experimental,28.0,Female,Qualifies for reduced/free lunch,53.0
S2YL9,LAYPA,Rural,Public,AJ1,Standard,21.0,Male,Does not qualify,57.0
QDBCB,UKPGS,Suburban,Public,XXE,Standard,22.0,Male,Does not qualify,82.0
8ECN8,UUUQX,Suburban,Non-public,SSP,Standard,15.0,Male,Does not qualify,70.0
AO6BG,QOQTS,Urban,Public,X2O,Experimental,25.0,Male,Does not qualify,60.0
DO21O,KZKKE,Rural,Public,3D0,Standard,22.0,Male,Qualifies for reduced/free lunch,29.0
ULX1M,ZMNYA,Suburban,Public,1UU,Experimental,24.0,Male,Does not qualify,66.0
NK0RT,QOQTS,Urban,Public,SUR,Standard,28.0,Male,Does not qualify,54.0
6ZVZS,UKPGS,Suburban,Public,IPU,Experimental,19.0,Female,Does not qualify,76.0
VK6OF,FBUMG,Rural,Non-public,JGD,Experimental,14.0,Male,Does not qualify,59.0
WJITF,UKPGS,Suburban,Public,9AW,Standard,25.0,Male,Does not qualify,86.0
9ZYVG,VKWQH,Rural,Public,GYM,Standard,20.0,Female,Does not qualify,48.0
HM7JY,CIMBB,Urban,Non-public,EID,Standard,21.0,Female,Does not qualify,70.0
RUJQB,UAGPU,Suburban,Public,S98,Standard,21.0,Female,Does not qualify,71.0
A85PD,UKPGS,Suburban,Public,XXE,Standard,22.0,Female,Does not qualify,77.0
NU48M,FBUMG,Rural,Non-public,JGD,Experimental,14.0,Female,Does not qualify,61.0
Z4549,UUUQX,Suburban,Non-public,SSP,Standard,15.0,Male,Does not qualify,62.0
JW2EJ,LAYPA,Rural,Public,AJ1,Standard,21.0,Male,Does not qualify,60.0
6GUH0,UKPGS,Suburban,Public,08N,Standard,21.0,Female,Does not qualify,80.0
M0CLJ,CIMBB,Urban,Non-public,HUJ,Experimental,17.0,Male,Does not qualify,68.0
EQUU9,CIMBB,Urban,Non-public,PC6,Standard,17.0,Female,Does not qualify,68.0
HYYYA,UUUQX,Suburban,Non-public,P8I,Standard,20.0,Male,Does not qualify,70.0
RJWG7,GOOBU,Urban,Public,U6J,Standard,25.0,Female,Qualifies for reduced/free lunch,41.0
MYVA0,UUUQX,Suburban,Non-public,6C1,Standard,16.0,Female,Does not qualify,59.0
YMEER,KZKKE,Rural,Public,O6A,Standard,22.0,Female,Qualifies for reduced/free lunch,47.0
SHWYN,VKWQH,Rural,Public,DFQ,Experimental,19.0,Male,Does not qualify,62.0
LK690,KZKKE,Rural,Public,3D0,Standard,22.0,Female,Qualifies for reduced/free lunch,29.0
8GKA1,GOKXL,Rural,Public,TSA,Experimental,23.0,Male,Qualifies for reduced/free lunch,59.0
S0UET,UAGPU,Suburban,Public,NWZ,Standard,21.0,Female,Does not qualify,57.0
T03G6,VVTVA,Urban,Public,A93,Experimental,30.0,Male,Qualifies for reduced/free lunch,35.0
E8RRO,CCAAW,Suburban,Non-public,PGK,Standard,21.0,Male,Qualifies for reduced/free lunch,74.0
MINBK,QOQTS,Urban,Public,SUR,Standard,28.0,Male,Qualifies for reduced/free lunch,52.0
N6O4Q,UKPGS,Suburban,Public,KXB,Experimental,18.0,Male,Does not qualify,75.0
M4R5B,VVTVA,Urban,Public,YTB,Experimental,30.0,Male,Qualifies for reduced/free lunch,33.0
JNSF2,KZKKE,Rural,Public,5JK,Standard,24.0,Female,Qualifies for reduced/free lunch,33.0
6V19X,QOQTS,Urban,Public,0N7,Experimental,28.0,Male,Does not qualify,47.0
N8UTT,QOQTS,Urban,Public,3XJ,Standard,24.0,Male,Does not qualify,51.0
PW0KX,VKWQH,Rural,Public,GYM,Standard,20.0,Female,Does not qualify,47.0
0AIOR,UUUQX,Suburban,Non-public,SSP,Standard,15.0,Male,Does not qualify,70.0
8FLEP,FBUMG,Rural,Non-public,JGD,Experimental,14.0,Female,Does not qualify,64.0
74C33,OJOBU,Rural,Public,6U9,Standard,22.0,Male,Does not qualify,48.0
TD1N0,UAGPU,Suburban,Public,NWZ,Standard,21.0,Female,Does not qualify,52.0
5NDXD,CCAAW,Suburban,Non-public,2B1,Experimental,18.0,Male,Qualifies for reduced/free lunch,58.0
BYOML,IDGFP,Urban,Non-public,G2L,Standard,17.0,Female,Does not qualify,76.0
NNP1T,QOQTS,Urban,Public,RK7,Standard,22.0,Female,Does not qualify,49.0
8PAMX,DNQDD,Suburban,Public,2AP,Standard,27.0,Female,Qualifies for reduced/free lunch,47.0
UPCU5,KZKKE,Rural,Public,5JK,Standard,24.0,Male,Qualifies for reduced/free lunch,30.0
S9W29,VVTVA,Urban,Public,TB5,Standard,25.0,Female,Qualifies for reduced/free lunch,40.0
T9G1Q,LAYPA,Rural,Public,AJ1,Standard,21.0,Male,Does not qualify,58.0
LNU0R,ZOWMK,Urban,Public,CII,Standard,27.0,Female,Qualifies for reduced/free lunch,53.0
CGX72,CCAAW,Suburban,Non-public,UWK,Standard,19.0,Female,Does not qualify,75.0
IUKHE,IDGFP,Urban,Non-public,98D,Experimental,21.0,Female,Does not qualify,76.0
XOO4J,UKPGS,Suburban,Public,9AW,Standard,25.0,Male,Does not qualify,82.0
D1I4F,VKWQH,Rural,Public,DFQ,Experimental,19.0,Male,Does not qualify,63.0
JK8YI,VKWQH,Rural,Public,341,Standard,18.0,Female,Does not qualify,44.0
RJ6DM,UKPGS,Suburban,Public,KXB,Experimental,18.0,Male,Does not qualify,74.0
6QNQ9,CCAAW,Suburban,Non-public,UHU,Experimental,16.0,Female,Qualifies for reduced/free lunch,55.0
GVD2M,UAGPU,Suburban,Public,NWZ,Standard,21.0,Male,Does not qualify,56.0
59212,VVTVA,Urban,Public,TB5,Standard,25.0,Male,Qualifies for reduced/free lunch,40.0
X0AOP,CUQAM,Urban,Public,1Q1,Standard,28.0,Male,Does not qualify,61.0
KG0JT,GOOBU,Urban,Public,W8A,Experimental,26.0,Female,Qualifies for reduced/free lunch,40.0
DXOUM,GJJHK,Suburban,Public,ZDT,Standard,27.0,Male,Qualifies for reduced/free lunch,49.0
9USQK,ANKYI,Urban,Non-public,6OL,Standard,20.0,Female,Does not qualify,63.0
FX3Q4,ZOWMK,Urban,Public,ZBH,Standard,30.0,Male,Qualifies for reduced/free lunch,41.0
RNSGC,LAYPA,Rural,Public,AJ1,Standard,21.0,Male,Does not qualify,63.0
TNDD2,ZMNYA,Suburban,Public,1UU,Experimental,24.0,Male,Qualifies for reduced/free lunch,65.0
36YGH,UAGPU,Suburban,Public,NWZ,Standard,21.0,Male,Does not qualify,60.0
B9J7D,DNQDD,Suburban,Public,XXJ,Standard,27.0,Male,Does not qualify,60.0
1X80E,GJJHK,Suburban,Public,X78,Standard,21.0,Female,Does not qualify,59.0
H6KJ5,GOKXL,Rural,Public,TSA,Experimental,23.0,Male,Qualifies for reduced/free lunch,51.0
1990J,GOKXL,Rural,Public,TSA,Experimental,23.0,Female,Qualifies for reduced/free lunch,56.0
ZC4LX,GOOBU,Urban,Public,HKF,Standard,28.0,Male,Qualifies for reduced/free lunch,30.0
YU2SU,VVTVA,Urban,Public,YTB,Experimental,30.0,Female,Qualifies for reduced/free lunch,33.0
MKTFW,ZOWMK,Urban,Public,QA2,Standard,30.0,Female,Qualifies for reduced/free lunch,44.0
BEDRH,UAGPU,Suburban,Public,S98,Standard,21.0,Male,Does not qualify,65.0
IRP99,KZKKE,Rural,Public,QTU,Standard,23.0,Male,Qualifies for reduced/free lunch,32.0
HY8JN,VVTVA,Urban,Public,A93,Experimental,30.0,Male,Qualifies for reduced/free lunch,29.0
XHZRD,IDGFP,Urban,Non-public,XZM,Standard,17.0,Female,Does not qualify,71.0
ZAH4F,UKPGS,Suburban,Public,08N,Standard,21.0,Female,Does not qualify,87.0
65F54,UKPGS,Suburban,Public,XXE,Standard,22.0,Male,Does not qualify,78.0
MP34B,VVTVA,Urban,Public,7BL,Standard,29.0,Female,Qualifies for reduced/free lunch,40.0
HCOHF,GOKXL,Rural,Public,ENO,Experimental,22.0,Male,Does not qualify,56.0
U3U5H,VVTVA,Urban,Public,7BL,Standard,29.0,Male,Qualifies for reduced/free lunch,43.0
E9UFB,OJOBU,Rural,Public,XJ8,Standard,23.0,Male,Does not qualify,59.0
1RN82,CCAAW,Suburban,Non-public,UHU,Experimental,16.0,Female,Does not qualify,55.0
17EXU,UAGPU,Suburban,Public,NWZ,Standard,21.0,Female,Does not qualify,54.0
8LQQZ,UAGPU,Suburban,Public,1SZ,Standard,22.0,Female,Does not qualify,64.0
ER2T8,UUUQX,Suburban,Non-public,SSP,Standard,15.0,Female,Does not qualify,64.0
N1ZJX,QOQTS,Urban,Public,RK7,Standard,22.0,Male,Does not qualify,52.0
Y1CCJ,GOOBU,Urban,Public,CXC,Standard,24.0,Female,Does not qualify,38.0
L9CIM,QOQTS,Urban,Public,0N7,Experimental,28.0,Female,Does not qualify,43.0
RWS2C,GJJHK,Suburban,Public,X78,Standard,21.0,Male,Qualifies for reduced/free lunch,55.0
PCXJH,VVTVA,Urban,Public,TB5,Standard,25.0,Male,Qualifies for reduced/free lunch,40.0
X32YR,QOQTS,Urban,Public,X2O,Experimental,25.0,Female,Does not qualify,66.0
P73C4,UUUQX,Suburban,Non-public,AE1,Experimental,17.0,Male,Does not qualify,68.0
O9YAY,OJOBU,Rural,Public,6U9,Standard,22.0,Female,Does not qualify,53.0
YZBI1,QOQTS,Urban,Public,SUR,Standard,28.0,Female,Does not qualify,52.0
TDY78,ZOWMK,Urban,Public,CII,Standard,27.0,Male,Qualifies for reduced/free lunch,46.0
TKWII,CCAAW,Suburban,Non-public,UWK,Standard,19.0,Female,Qualifies for reduced/free lunch,70.0
7R2Y4,CUQAM,Urban,Public,1Q1,Standard,28.0,Male,Does not qualify,53.0
31OXZ,VKWQH,Rural,Public,DFQ,Experimental,19.0,Female,Does not qualify,60.0
4QH1V,QOQTS,Urban,Public,XZ4,Standard,22.0,Male,Does not qualify,54.0
M4RHA,QOQTS,Urban,Public,RK7,Standard,22.0,Female,Does not qualify,50.0
7M97F,UKPGS,Suburban,Public,IPU,Experimental,19.0,Male,Does not qualify,77.0
TM3WU,UAGPU,Suburban,Public,1SZ,Standard,22.0,Male,Does not qualify,59.0
1OKDF,ZOWMK,Urban,Public,QA2,Standard,30.0,Female,Qualifies for reduced/free lunch,40.0
0YINX,GJJHK,Suburban,Public,X78,Standard,21.0,Male,Qualifies for reduced/free lunch,55.0
3CFUK,ANKYI,Urban,Non-public,ZNS,Standard,21.0,Male,Does not qualify,57.0
F5RU2,QOQTS,Urban,Public,XZ4,Standard,22.0,Male,Does not qualify,53.0
5UWDZ,DNQDD,Suburban,Public,2AP,Standard,27.0,Male,Does not qualify,56.0
VJ7SW,DNQDD,Suburban,Public,ROP,Experimental,28.0,Female,Does not qualify,62.0
O9Z89,CIMBB,Urban,Non-public,EID,Standard,21.0,Female,Does not qualify,69.0
WB8AL,UUUQX,Suburban,Non-public,P8I,Standard,20.0,Male,Does not qualify,66.0
GCK1W,KZKKE,Rural,Public,2BR,Standard,20.0,Male,Qualifies for reduced/free lunch,48.0
B7EZ3,ZOWMK,Urban,Public,ZBH,Standard,30.0,Female,Qualifies for reduced/free lunch,40.0
B9JUN,GJJHK,Suburban,Public,NOR,Experimental,27.0,Female,Does not qualify,65.0
DBWEY,OJOBU,Rural,Public,5SZ,Experimental,17.0,Male,Does not qualify,63.0
ZJ9AC,IDGFP,Urban,Non-public,05H,Standard,22.0,Male,Does not qualify,72.0
GF5N4,VHDHF,Rural,Non-public,CD8,Experimental,20.0,Female,Qualifies for reduced/free lunch,55.0
86HWL,UUUQX,Suburban,Non-public,6C1,Standard,16.0,Male,Does not qualify,59.0
SED9R,ZOWMK,Urban,Public,Q0E,Experimental,30.0,Female,Qualifies for reduced/free lunch,37.0
80E09,VHDHF,Rural,Non-public,CD8,Experimental,20.0,Female,Qualifies for reduced/free lunch,52.0
QOAA6,KZKKE,Rural,Public,3D0,Standard,22.0,Female,Qualifies for reduced/free lunch,27.0
18VK7,VHDHF,Rural,Non-public,CD8,Experimental,20.0,Female,Qualifies for reduced/free lunch,59.0
3YWAD,UKPGS,Suburban,Public,XXE,Standard,22.0,Female,Does not qualify,83.0
0ZUZM,CUQAM,Urban,Public,OMI,Standard,28.0,Male,Does not qualify,55.0
FIH1N,CUQAM,Urban,Public,BFY,Standard,27.0,Male,Does not qualify,53.0
PJ4OB,KFZMY,Urban,Non-public,21Q,Standard,25.0,Male,Qualifies for reduced/free lunch,45.0
PKG8H,CCAAW,Suburban,Non-public,UHU,Experimental,16.0,Female,Does not qualify,59.0
BWRTH,CCAAW,Suburban,Non-public,PGK,Standard,21.0,Female,Qualifies for reduced/free lunch,69.0
TMC4V,CUQAM,Urban,Public,X6Z,Experimental,24.0,Male,Does not qualify,55.0
3ZC0F,ZOWMK,Urban,Public,ZBH,Standard,30.0,Female,Qualifies for reduced/free lunch,36.0
CO91R,KFZMY,Urban,Non-public,1VD,Experimental,27.0,Male,Qualifies for reduced/free lunch,38.0
5HZS0,UAGPU,Suburban,Public,S98,Standard,21.0,Female,Does not qualify,68.0
BXPDJ,GOOBU,Urban,Public,18K,Standard,31.0,Female,Qualifies for reduced/free lunch,44.0
7QOXV,GOOBU,Urban,Public,18K,Standard,31.0,Female,Qualifies for reduced/free lunch,53.0
LRVKJ,GOOBU,Urban,Public,HKF,Standard,28.0,Male,Qualifies for reduced/free lunch,30.0
U55KC,CUQAM,Urban,Public,BFY,Standard,27.0,Male,Qualifies for reduced/free lunch,47.0
R4U8H,ANKYI,Urban,Non-public,6OL,Standard,20.0,Male,Does not qualify,64.0
FW95I,GOOBU,Urban,Public,18K,Standard,31.0,Male,Qualifies for reduced/free lunch,49.0
KLN48,ZOWMK,Urban,Public,QA2,Standard,30.0,Female,Qualifies for reduced/free lunch,47.0
9WYVP,CCAAW,Suburban,Non-public,PGK,Standard,21.0,Male,Does not qualify,75.0
16EN7,VHDHF,Rural,Non-public,J6X,Standard,16.0,Female,Qualifies for reduced/free lunch,47.0
B19E2,UAGPU,Suburban,Public,1SZ,Standard,22.0,Male,Does not qualify,63.0
Z2JKR,UUUQX,Suburban,Non-public,6C1,Standard,16.0,Male,Does not qualify,62.0
Y0PR8,CIMBB,Urban,Non-public,A33,Standard,19.0,Female,Does not qualify,55.0
E6Q1J,DNQDD,Suburban,Public,XXJ,Standard,27.0,Female,Does not qualify,63.0
20M2D,FBUMG,Rural,Non-public,5LQ,Experimental,18.0,Female,Qualifies for reduced/free lunch,68.0
QVUI0,ZOWMK,Urban,Public,QA2,Standard,30.0,Male,Qualifies for reduced/free lunch,38.0
DJK1N,VKWQH,Rural,Public,341,Standard,18.0,Female,Does not qualify,47.0
VMAIX,GOOBU,Urban,Public,18K,Standard,31.0,Female,Qualifies for reduced/free lunch,50.0
BB5YM,VHDHF,Rural,Non-public,CD8,Experimental,20.0,Female,Qualifies for reduced/free lunch,51.0
07N4F,UUUQX,Suburban,Non-public,SSP,Standard,15.0,Male,Does not qualify,68.0
T51PH,UAGPU,Suburban,Public,1SZ,Standard,22.0,Female,Does not qualify,63.0
0DG2C,VVTVA,Urban,Public,YTB,Experimental,30.0,Male,Qualifies for reduced/free lunch,30.0
M4RH1,GOOBU,Urban,Public,PBA,Standard,24.0,Male,Qualifies for reduced/free lunch,40.0
WP4OE,CUQAM,Urban,Public,BFY,Standard,27.0,Male,Does not qualify,52.0
NA0CP,UAGPU,Suburban,Public,S98,Standard,21.0,Female,Does not qualify,68.0
8Q0G9,KZKKE,Rural,Public,5JK,Standard,24.0,Female,Qualifies for reduced/free lunch,33.0
NH2XP,QOQTS,Urban,Public,SUR,Standard,28.0,Male,Does not qualify,54.0
GUQVH,VKWQH,Rural,Public,341,Standard,18.0,Male,Does not qualify,45.0
PSZFU,UKPGS,Suburban,Public,XXE,Standard,22.0,Female,Does not qualify,81.0
3MRKS,ZOWMK,Urban,Public,CII,Standard,27.0,Female,Qualifies for reduced/free lunch,49.0
BLJ07,UKPGS,Suburban,Public,PGH,Experimental,23.0,Male,Does not qualify,76.0
99UUZ,VHDHF,Rural,Non-public,KR1,Experimental,15.0,Female,Qualifies for reduced/free lunch,54.0
W4UNG,VHDHF,Rural,Non-public,J6X,Standard,16.0,Female,Qualifies for reduced/free lunch,45.0
D4BUO,CUQAM,Urban,Public,X6Z,Experimental,24.0,Male,Does not qualify,49.0
CWETG,VKWQH,Rural,Public,341,Standard,18.0,Male,Does not qualify,38.0
PXXNX,DNQDD,Suburban,Public,ROP,Experimental,28.0,Male,Does not qualify,58.0
FDVGN,UKPGS,Suburban,Public,IPU,Experimental,19.0,Male,Does not qualify,81.0
C5QDD,GOOBU,Urban,Public,HKF,Standard,28.0,Female,Qualifies for reduced/free lunch,28.0
K3DEI,GJJHK,Suburban,Public,YUC,Standard,21.0,Female,Qualifies for reduced/free lunch,41.0
IG2ZG,UUUQX,Suburban,Non-public,AE1,Experimental,17.0,Male,Does not qualify,67.0
9SO36,UKPGS,Suburban,Public,PGH,Experimental,23.0,Male,Does not qualify,70.0
1K0Q5,DNQDD,Suburban,Public,2AP,Standard,27.0,Female,Does not qualify,54.0
FCNU9,QOQTS,Urban,Public,SUR,Standard,28.0,Female,Does not qualify,55.0
